Id,WnvPresent
1,0.8
2,0.8
3,0.8
4,0.8
5,0.8
6,0.8
7,0.8
8,0.8
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.65
18,0.65
19,0.65
20,0.65
21,0.65
22,0.65
23,0.65
24,0.65
25,0.3
26,0.3
27,0.3
28,0.3
29,0.3
30,0.3
31,0.3
32,0.3
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.2
42,0.2
43,0.2
44,0.2
45,0.2
46,0.2
47,0.2
48,0.2
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.5
58,0.5
59,0.5
60,0.5
61,0.5
62,0.5
63,0.5
64,0.5
65,0.35
66,0.35
67,0.35
68,0.35
69,0.35
70,0.35
71,0.35
72,0.35
73,0.75
74,0.75
75,0.75
76,0.75
77,0.75
78,0.75
79,0.75
80,0.75
81,0.2
82,0.2
83,0.2
84,0.2
85,0.2
86,0.2
87,0.2
88,0.2
89,0.45
90,0.45
91,0.45
92,0.45
93,0.45
94,0.45
95,0.45
96,0.45
97,0.7
98,0.7
99,0.7
100,0.7
101,0.7
102,0.7
103,0.7
104,0.7
105,0.2
106,0.2
107,0.2
108,0.2
109,0.2
110,0.2
111,0.2
112,0.2
113,0.6
114,0.6
115,0.6
116,0.6
117,0.6
118,0.6
119,0.6
120,0.6
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.25
138,0.25
139,0.25
140,0.25
141,0.25
142,0.25
143,0.25
144,0.25
145,0.45
146,0.45
147,0.45
148,0.45
149,0.45
150,0.45
151,0.45
152,0.45
153,0.65
154,0.65
155,0.65
156,0.65
157,0.65
158,0.65
159,0.65
160,0.65
161,0.6
162,0.6
163,0.6
164,0.6
165,0.6
166,0.6
167,0.6
168,0.6
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.2
178,0.2
179,0.2
180,0.2
181,0.2
182,0.2
183,0.2
184,0.2
185,0.45
186,0.45
187,0.45
188,0.45
189,0.45
190,0.45
191,0.45
192,0.45
193,0.2
194,0.2
195,0.2
196,0.2
197,0.2
198,0.2
199,0.2
200,0.2
201,0.35
202,0.35
203,0.35
204,0.35
205,0.35
206,0.35
207,0.35
208,0.35
209,0.3
210,0.3
211,0.3
212,0.3
213,0.3
214,0.3
215,0.3
216,0.3
217,0.5
218,0.5
219,0.5
220,0.5
221,0.5
222,0.5
223,0.5
224,0.5
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.2
234,0.2
235,0.2
236,0.2
237,0.2
238,0.2
239,0.2
240,0.2
241,0.2
242,0.2
243,0.2
244,0.2
245,0.2
246,0.2
247,0.2
248,0.2
249,0.45
250,0.45
251,0.45
252,0.45
253,0.45
254,0.45
255,0.45
256,0.45
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.2
274,0.2
275,0.2
276,0.2
277,0.2
278,0.2
279,0.2
280,0.2
281,0.35
282,0.35
283,0.35
284,0.35
285,0.35
286,0.35
287,0.35
288,0.35
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.65
298,0.65
299,0.65
300,0.65
301,0.65
302,0.65
303,0.65
304,0.65
305,0.25
306,0.25
307,0.25
308,0.25
309,0.25
310,0.25
311,0.25
312,0.25
313,0.55
314,0.55
315,0.55
316,0.55
317,0.55
318,0.55
319,0.55
320,0.55
321,0.55
322,0.55
323,0.55
324,0.55
325,0.55
326,0.55
327,0.55
328,0.55
329,0.35
330,0.35
331,0.35
332,0.35
333,0.35
334,0.35
335,0.35
336,0.35
337,0.1
338,0.1
339,0.1
340,0.1
341,0.1
342,0.1
343,0.1
344,0.1
345,0.35
346,0.35
347,0.35
348,0.35
349,0.35
350,0.35
351,0.35
352,0.35
353,0.2
354,0.2
355,0.2
356,0.2
357,0.2
